date;totalcase;totaldeath;totalM;totalF;AR1;AR2;AR3;AR4;AR5;AR6
'02-25';1;0;0;1;0;1;0;0;0;0
'02-26';2;0;1;1;0;1;1;0;0;0
'02-27';2;0;1;1;0;1;1;0;0;0
'02-28';2;0;1;1;0;1;1;0;0;0
'02-29';2;0;1;1;0;1;1;0;0;0
'03-01';2;0;1;1;0;1;1;0;0;0
'03-02';2;0;1;1;0;1;1;0;0;0
'03-03';2;0;1;1;0;1;1;0;0;0
'03-04';2;0;1;1;0;1;1;0;0;0
'03-05';2;0;1;1;0;1;1;0;0;0
'03-06';2;0;1;1;0;1;1;0;0;0
'03-07';3;0;2;1;0;1;2;0;0;0
'03-08';3;0;2;1;0;1;2;0;0;0
'03-09';4;0;3;1;0;1;2;0;1;0
'03-10';7;0;4;3;0;1;4;0;1;0
'03-11';14;0;8;6;0;4;8;0;1;0
'03-12';19;0;11;8;0;6;3;0;1;0
'03-13';39;0;23;16;0;14;15;0;1;0
'03-14';46;0;27;18;2;17;15;1;2;0
'03-15';64;0;33;29;2;27;22;2;3;0
'03-16';75;0;40;33;2;28;28;4;5;1
'03-17';91;0;50;39;2;32;36;7;6;2
'03-18';99;0;53;44;2;34;36;11;8;4
'03-19';114;0;60;52;3;38;44;12;9;5
