Registration,Number,Deaths,Sex,Age_group,City,NumberMen,NumberWomen
2020-02-25,1,0,W,A15-A34,Tübingen,0,1
2020-02-26,1,0,M,A35-A59,Tübingen,1,0
2020-03-07,1,0,M,A35-A59,Tübingen,1,0
2020-03-09,1,0,M,A60-A79,Tübingen,1,0
2020-03-10,1,0,W,A05-A14,Tübingen,0,1
2020-03-10,2,0,W,A35-A59,Tübingen,0,2
2020-03-11,2,0,M,A15-A34,Tübingen,2,0
2020-03-11,1,0,W,A15-A34,Tübingen,0,1
2020-03-11,2,0,M,A35-A59,Tübingen,2,0
2020-03-11,2,0,W,A35-A59,Tübingen,0,2
2020-03-12,1,0,M,A15-A34,Tübingen,1,0
2020-03-12,1,0,W,A15-A34,Tübingen,0,1
2020-03-12,2,0,M,A35-A59,Tübingen,2,0
2020-03-12,1,0,W,A35-A59,Tübingen,0,1
2020-03-13,4,0,M,A15-A34,Tübingen,4,0
2020-03-13,4,0,W,A15-A34,Tübingen,0,4
2020-03-13,8,0,M,A35-A59,Tübingen,8,0
2020-03-13,4,0,W,A35-A59,Tübingen,0,4
2020-03-14,1,0,M,A00-A04,Tübingen,1,0
2020-03-14,1,0,unbekannt,A00-A04,Tübingen,0,1
2020-03-14,1,0,W,A05-A14,Tübingen,0,1
2020-03-14,3,0,M,A15-A34,Tübingen,3,0
2020-03-14,1,0,W,A60-A79,Tübingen,0,1
2020-03-15,3,0,M,A15-A34,Tübingen,3,0
2020-03-15,1,0,unbekannt,A15-A34,Tübingen,0,1
2020-03-15,6,0,W,A15-A34,Tübingen,0,6
2020-03-15,3,0,M,A35-A59,Tübingen,3,0
2020-03-15,4,0,W,A35-A59,Tübingen,0,4
2020-03-15,1,0,W,A60-A79,Tübingen,0,1
2020-03-16,1,0,M,A05-A14,Tübingen,1,0
2020-03-16,1,0,M,A15-A34,Tübingen,1,0
2020-03-16,2,0,M,A35-A59,Tübingen,2,0
2020-03-16,4,0,W,A35-A59,Tübingen,0,4
2020-03-16,2,0,M,A60-A79,Tübingen,2,0
2020-03-16,1,0,M,A80+,Tübingen,1,0
2020-03-17,3,0,M,A15-A34,Tübingen,3,0
2020-03-17,1,0,W,A15-A34,Tübingen,0,1
2020-03-17,4,0,M,A35-A59,Tübingen,4,0
2020-03-17,4,0,W,A35-A59,Tübingen,0,4
2020-03-17,2,0,M,A60-A79,Tübingen,2,0
2020-03-17,1,0,W,A60-A79,Tübingen,0,1
2020-03-17,1,0,M,A80+,Tübingen,1,0
2020-03-18,1,0,M,A15-A34,Tübingen,1,0
2020-03-18,1,0,W,A15-A34,Tübingen,0,1
2020-03-18,2,0,M,A60-A79,Tübingen,2,0
2020-03-18,2,0,W,A60-A79,Tübingen,0,2
2020-03-18,2,0,W,A80+,Tübingen,0,2
2020-03-19,1,0,M,A00-A04,Tübingen,1,0
2020-03-19,2,0,M,A15-A34,Tübingen,2,0
2020-03-19,2,0,W,A15-A34,Tübingen,0,2
2020-03-19,3,0,M,A35-A59,Tübingen,3,0
2020-03-19,5,0,W,A35-A59,Tübingen,0,5
2020-03-19,1,0,M,A60-A79,Tübingen,1,0
2020-03-19,1,0,W,A80+,Tübingen,0,1
